,name,model,year,selling_price,km_driven,fuel,mileage,engine,seats
23,Tata Tigor 2017-2020,Tata,2018,500000,35000,Petrol,20.3,1199,5
24,Maruti Baleno Delta,Maruti,2016,575000,45000,Petrol,21.4,1197,5
25,Maruti Alto 800,Maruti,2017,275000,28000,Petrol,24.7,796,5
26,Chevrolet Enjoy TCDi,Chevrolet,2013,300000,70000,Diesel,18.2,1248,7
27,Maruti Wagon R,Maruti,2009,220000,120000,Petrol,18.9,1061,5
28,Maruti Omni E,Maruti,2018,254999,25000,Petrol,16.8,796,8
29,Maruti Vitara Brezza,Maruti,2017,670000,70000,Diesel,24.3,1248,5
30,Maruti Omni 8,Maruti,2012,150000,35000,Petrol,14.0,796,5
31,Hyundai i20 1.2,Hyundai,2018,730000,2388,Petrol,18.6,1197,5
32,Maruti Vitara Brezza,Maruti,2017,650000,16200,Diesel,24.3,1248,5
33,Maruti Alto 800,Maruti,2019,330000,10000,CNG,33.44,796,4
34,Maruti Alto K10,Maruti,2019,366000,15000,Petrol,23.95,998,5
35,Hyundai Verna VTVT,Hyundai,2019,1149000,5000,Petrol,17.0,1591,5
36,Datsun GO D,Datsun,2016,150000,42000,Petrol,20.63,1198,5
37,Tata Safari DICOR,Tata,2011,425000,60000,Diesel,13.93,2179,7
38,Maruti 800 Std,Maruti,2012,150000,76000,Petrol,16.1,796,4
39,Jeep Compass 1.4,Jeep,2019,2100000,5000,Petrol,16.0,1368,5
40,Honda City i,Honda,2018,925000,28900,Petrol,17.8,1497,5
41,Honda City V,Honda,2013,425000,86300,Petrol,16.8,1497,5
42,Maruti Swift Dzire,Maruti,2018,675000,23300,Petrol,18.5,1197,5
43,Maruti Vitara Brezza,Maruti,2018,819999,32600,Diesel,24.3,1248,5
44,Maruti Alto K10,Maruti,2018,390000,10300,Petrol,23.95,998,5
45,Toyota Fortuner 4x4,Toyota,2014,1500000,77000,Diesel,12.55,2982,7
46,Toyota Innova 2.5,Toyota,2013,700000,99000,Diesel,12.99,2494,7
47,Mercedes-Benz B Class,Mercedes-Benz,2014,1450000,27800,Diesel,14.8,2143,5
48,Honda Amaze S,Honda,2015,425000,49800,Diesel,24.7,1498,5
49,Mitsubishi Pajero Sport,Mitsubishi,2013,1090000,151000,Diesel,13.5,2477,7
50,Honda City i,Honda,2015,600000,54700,Diesel,26.0,1498,5
51,Maruti Ciaz Zeta,Maruti,2018,850000,64000,Petrol,20.65,1462,5
52,Honda Jazz VX,Honda,2015,525000,63000,Diesel,27.3,1498,5
53,Toyota Innova Crysta,Toyota,2016,1650000,127700,Diesel,11.36,2755,7
54,Toyota Innova 2.5,Toyota,2016,950000,99000,Diesel,12.99,2494,7
55,Audi A6 2.0,Audi,2013,1750000,33900,Diesel,17.68,1968,5
56,Toyota Corolla Altis,Toyota,2018,1590000,25000,Petrol,14.28,1798,5
57,Audi A6 2.0,Audi,2013,1689999,50000,Diesel,18.53,1968,5
58,Mercedes-Benz New C-Class,Mercedes-Benz,2013,1425000,59000,Diesel,14.84,2143,5
59,Tata Manza ELAN,Tata,2011,265000,120000,Diesel,21.12,1248,5
60,Hyundai i10 Magna,Hyundai,2011,190000,110000,Petrol,20.36,1197,5
61,Hyundai i20 Asta,Hyundai,2013,425000,60000,Diesel,21.27,1396,5
62,Maruti Swift Dzire,Maruti,2015,630000,147000,Diesel,26.59,1248,5
63,Ford Figo 1.2P,Ford,2017,600000,25000,Petrol,18.16,1196,5
64,Maruti Baleno Delta,Maruti,2019,650000,30000,Petrol,21.4,1197,5
65,Volkswagen Ameo 1.5,Volkswagen,2016,540000,40000,Diesel,22.0,1498,5
66,Honda City i,Honda,2015,630000,135000,Diesel,25.1,1498,5
67,Maruti Wagon R,Maruti,2018,448000,30000,Petrol,20.51,998,5
68,Volkswagen Ameo 1.5,Volkswagen,2017,500000,80000,Diesel,21.66,1498,5
69,Maruti Vitara Brezza,Maruti,2016,745000,70000,Diesel,24.3,1248,5
70,Maruti Vitara Brezza,Maruti,2019,1025000,9850,Diesel,24.3,1248,5
71,Hyundai i10 Magna,Hyundai,2011,235000,60000,Petrol,20.36,1197,5
72,Maruti Swift VDI,Maruti,2016,630000,70000,Diesel,25.2,1248,5
73,Toyota Fortuner 4x4,Toyota,2015,1700000,78000,Diesel,12.55,2982,7
74,Maruti Swift Star,Maruti,2013,450000,120000,Diesel,22.9,1248,5
75,Maruti Ertiga ZXI,Maruti,2012,450000,120000,Petrol,16.02,1373,7
76,Volkswagen Vento Diesel,Volkswagen,2013,450000,170000,Diesel,20.54,1598,5
77,Toyota Innova 2.5,Toyota,2016,1200000,140000,Diesel,12.99,2494,8
78,Ford EcoSport 1.5,Ford,2015,610000,90000,Diesel,22.77,1498,5
79,BMW X1 sDrive20i,BMW,2016,2500000,30000,Petrol,15.71,1998,5
80,Maruti Celerio ZXI,Maruti,2017,484999,10000,Petrol,23.1,998,5
81,Datsun GO A,Datsun,2016,275000,49000,Petrol,19.02,1198,5
82,Maruti Alto 800,Maruti,2016,315000,32000,Petrol,24.7,796,5
83,Maruti Alto 800,Maruti,2016,275000,38000,Petrol,24.7,796,5
84,Hyundai i10 Era,Hyundai,2012,290000,28000,Petrol,19.81,1086,5
85,Maruti Omni 8,Maruti,2017,280000,32000,Petrol,14.0,796,5
86,Maruti Wagon R,Maruti,2010,225000,44000,LPG,26.2,998,5
87,Volkswagen Polo 1.2,Volkswagen,2015,455000,42000,Petrol,16.47,1198,5
88,Hyundai i10 Magna,Hyundai,2015,351000,45000,Petrol,19.81,1086,5
89,Volkswagen Vento Petrol,Volkswagen,2012,535000,12000,Petrol,15.04,1598,5
90,Maruti Zen Estilo,Maruti,2009,175000,55500,Petrol,18.2,998,5
91,Hyundai i20 Asta,Hyundai,2013,525000,61500,Petrol,18.5,1197,5
92,Maruti Swift Dzire,Maruti,2016,600000,150000,Diesel,26.59,1248,5
93,Hyundai Xcent 1.2,Hyundai,2016,565000,72000,Petrol,19.1,1197,5
94,Maruti Alto LX,Maruti,2008,120000,68000,Petrol,19.7,796,5
95,Hyundai i20 1.4,Hyundai,2017,725000,110000,Diesel,22.54,1396,5
96,Maruti Wagon R,Maruti,2009,185000,77000,Petrol,21.79,998,5
97,Tata Manza Aura,Tata,2010,200000,100000,Diesel,18.8,1248,5
98,Maruti Swift VXI,Maruti,2019,615000,10000,Petrol,21.21,1197,5
99,Maruti Eeco 7,Maruti,2016,270000,100000,Petrol,15.37,1196,7
100,Maruti Baleno Zeta,Maruti,2018,610000,35000,Petrol,21.4,1197,5
101,Mahindra Scorpio VLX,Mahindra,2014,625000,70000,Diesel,11.79,2179,8
102,Ford Freestyle Titanium,Ford,2020,400000,5000,Petrol,19.0,1194,5
103,Hyundai Verna VTVT,Hyundai,2017,866000,37800,Petrol,17.0,1591,5
104,Volkswagen Passat 1.8,Volkswagen,2010,700000,114000,Petrol,14.3,1798,5
105,Tata Indica Vista,Tata,2010,300000,48000,Petrol,15.8,1172,5
106,Mahindra XUV500 W11,Mahindra,2019,1700000,32000,Diesel,15.1,2179,7
107,Tata Indigo CS,Tata,2016,375000,100000,Diesel,19.09,1405,5
108,Hyundai Verna 1.6,Hyundai,2013,522000,150000,Diesel,22.32,1582,5
109,Hyundai i20 Magna,Hyundai,2013,451999,69000,Diesel,21.9,1396,5
110,Toyota Corolla Altis,Toyota,2009,300000,100000,Petrol,14.53,1798,5
111,Maruti Celerio VXI,Maruti,2020,475000,13000,Petrol,21.63,998,5
112,Maruti Vitara Brezza,Maruti,2016,780000,60000,Diesel,24.3,1248,5
113,Maruti Swift Dzire,Maruti,2017,595000,40000,Petrol,20.85,1197,5
114,Maruti Wagon R,Maruti,2017,440000,35000,Petrol,20.51,998,5
115,Nissan Terrano XL,Nissan,2014,400000,70000,Diesel,20.45,1461,5
116,Hyundai Creta 1.6,Hyundai,2016,1140000,50000,Diesel,19.67,1582,5
117,Ford EcoSport 1.5,Ford,2017,850000,76139,Diesel,23.0,1498,5
118,Maruti Swift Dzire,Maruti,2012,370000,175000,Diesel,19.3,1248,5
119,Renault KWID 1.0,Renault,2018,350000,25000,Petrol,23.01,999,5
120,Maruti Celerio VXI,Maruti,2015,360000,40000,Petrol,23.1,998,5
121,Maruti Alto LXi,Maruti,2008,105000,65000,Petrol,19.7,796,5
122,Maruti Ertiga VDI,Maruti,2013,625000,90000,Diesel,20.77,1248,7
123,Hyundai Santro Xing,Hyundai,2009,135000,80000,Petrol,17.92,1086,5
124,Maruti Ertiga VDI,Maruti,2015,700000,110000,Diesel,20.77,1248,7
125,Honda Amaze S,Honda,2019,690000,1303,Petrol,17.8,1198,5
126,Audi Q5 35TDI,Audi,2018,3975000,31800,Diesel,17.01,1968,5
127,Lexus ES 300h,Lexus,2019,5150000,20000,Petrol,22.37,2487,5
128,Jaguar XF 2.0,Jaguar,2017,3200000,45000,Diesel,19.33,1999,5
129,Jeep Wrangler 2016-2019,Jeep,2017,4100000,17000,Petrol,9.5,3604,5
130,Land Rover Discovery,Land,2019,4500000,21000,Diesel,12.83,1999,7
131,Mercedes-Benz S-Class S,Mercedes-Benz,2017,6000000,37000,Diesel,13.5,2987,5
132,BMW 5 Series,BMW,2018,3790000,29500,Diesel,22.48,1995,5
133,BMW X4 M,BMW,2019,5800000,7500,Diesel,16.78,1995,5
134,Skoda Superb LK,Skoda,2018,1864999,50000,Petrol,14.67,1798,5
135,Mercedes-Benz E-Class E250,Mercedes-Benz,2016,2700000,35000,Diesel,15.0,2143,5
136,MG Hector Sharp,MG,2019,1750000,19000,Petrol,13.96,1451,5
137,Honda City i-VTEC,Honda,2017,795000,41000,Petrol,18.0,1497,5
138,Toyota Corolla Altis,Toyota,2013,625000,39000,Petrol,14.28,1798,5
139,Volvo XC40 D4,Volvo,2018,3400000,22000,Diesel,18.0,1969,5
140,Audi Q7 35,Audi,2015,2650000,53000,Diesel,12.07,2967,7
141,Maruti Ciaz ZDi,Maruti,2015,535000,40000,Diesel,26.21,1248,5
142,Mercedes-Benz S-Class S,Mercedes-Benz,2017,5850000,47000,Diesel,13.5,2987,5
143,BMW 5 Series,BMW,2010,975000,72200,Petrol,10.8,2497,5
144,Hyundai Elantra S,Hyundai,2016,805000,49900,Petrol,16.3,1797,5
145,Jaguar XE 2016-2019,Jaguar,2017,2625000,9000,Diesel,13.6,1999,5
146,Tata Nexon 1.2,Tata,2018,811000,11000,Petrol,17.0,1198,5
147,Volkswagen Vento Petrol,Volkswagen,2011,375000,49000,Petrol,15.04,1598,5
148,Hyundai Elantra SX,Hyundai,2012,550000,95000,Petrol,16.3,1797,5
149,Skoda Rapid 1.6,Skoda,2016,645000,11000,Petrol,14.3,1598,5
150,Mercedes-Benz CLA 200,Mercedes-Benz,2018,2550000,18000,Petrol,15.04,1991,5
151,Maruti Ertiga ZXI,Maruti,2014,599000,46100,Petrol,16.02,1373,7
152,Mercedes-Benz New C-Class,Mercedes-Benz,2017,2700000,16000,Petrol,14.74,1991,5
153,Honda City V,Honda,2017,875000,18000,Petrol,15.6,1497,5
154,Toyota Glanza V,Toyota,2019,894999,9654,Petrol,19.56,1197,5
155,Maruti Alto K10,Maruti,2011,175000,11000,Petrol,23.95,998,5
156,Maruti Swift VXI,Maruti,2012,340000,24300,Petrol,21.21,1197,5
157,Toyota Innova Crysta,Toyota,2016,1525000,42163,Diesel,11.36,2755,7
158,Tata Nexon 1.5,Tata,2018,1025000,8000,Diesel,21.5,1497,5
159,BMW 3 Series,BMW,2016,2150000,30000,Diesel,22.69,1995,5
160,Toyota Camry 2.5,Toyota,2016,1900000,41000,Petrol,19.16,2494,5
161,BMW 5 Series,BMW,2016,2900000,12000,Diesel,18.12,1995,5
162,Toyota Camry W4,Toyota,2009,450000,71000,Petrol,12.1,2362,5
163,Maruti Ertiga BSIV,Maruti,2016,850000,20000,Petrol,17.5,1373,7
164,Volvo XC90 T8,Volvo,2017,10000000,30000,Petrol,42.0,1969,4
165,Volkswagen Vento Diesel,Volkswagen,2011,300000,100000,Diesel,20.54,1598,5
166,Ford Figo Aspire,Ford,2018,575000,9500,Petrol,18.16,1196,5
167,Ford Figo Diesel,Ford,2011,160000,120000,Diesel,20.0,1399,5
168,Maruti Swift VXI,Maruti,2015,515000,36600,Petrol,20.4,1197,5
169,Maruti Wagon R,Maruti,2015,390000,50000,Petrol,20.51,998,5
170,Hyundai i20 Magna,Hyundai,2016,550000,14000,Petrol,18.6,1197,5
171,Maruti 800 Std,Maruti,1999,40000,40000,Petrol,16.1,796,4
172,Maruti Ritz VDi,Maruti,2010,220000,120000,Diesel,21.1,1248,5
173,Hyundai Grand i10,Hyundai,2015,425000,70000,Petrol,18.9,1197,5
174,Volkswagen Ameo 1.0,Volkswagen,2019,480000,13000,Petrol,19.44,999,5
175,Hyundai Grand i10,Hyundai,2014,400000,60000,Petrol,18.9,1197,5
176,Maruti Swift Dzire,Maruti,2014,487000,35000,Petrol,19.1,1197,5
177,Hyundai Xcent 1.2,Hyundai,2016,386000,44000,Petrol,19.1,1197,5
178,Honda City 1.5,Honda,2005,100000,120000,Petrol,13.0,1493,5
179,Toyota Corolla Altis,Toyota,2010,300000,60000,Diesel,21.43,1364,5
180,Daewoo Matiz SD,Daewoo,2000,100000,60000,Petrol,18.5,796,5
181,Toyota Fortuner 4x2,Toyota,2014,1750000,30000,Diesel,13.0,2982,7
182,Mahindra KUV 100,Mahindra,2016,450000,15000,Petrol,18.15,1198,6
183,Tata Zest Quadrajet,Tata,2017,490000,90000,Diesel,22.95,1248,5
184,Honda City 1.5,Honda,2009,345000,47000,Petrol,17.0,1497,5
185,Maruti Zen LXI,Maruti,2005,85000,90000,Petrol,17.3,993,5
186,Maruti Wagon R,Maruti,2010,215000,120600,Petrol,18.9,998,5
187,Hyundai Verna Transform,Hyundai,2010,320000,100000,Petrol,16.2,1599,5
188,Maruti Swift Dzire,Maruti,2016,459999,60000,Petrol,20.85,1197,5
189,Hyundai Getz GLS,Hyundai,2005,65000,86000,Petrol,15.3,1341,5
190,Hyundai Elite i20,Hyundai,2020,720000,5000,Petrol,18.6,1197,5
191,Maruti Ciaz 1.3,Maruti,2017,800000,37000,Diesel,28.09,1248,5
192,Tata Tigor 1.2,Tata,2019,520000,14000,Petrol,20.3,1199,5
193,Maruti Ertiga VDI,Maruti,2015,580000,70000,Diesel,20.77,1248,7
194,Honda City i,Honda,2015,600000,50000,Petrol,17.4,1497,5
195,Honda Brio S,Honda,2014,290000,60000,Petrol,19.4,1198,5
196,Maruti Wagon R,Maruti,2016,360000,50000,CNG,26.6,998,5
197,Maruti Swift Dzire,Maruti,2017,550000,50000,Petrol,20.85,1197,5
198,Hyundai i20 Sportz,Hyundai,2013,375000,70000,Petrol,18.5,1197,5
199,Maruti Wagon R,Maruti,2018,420000,35000,Petrol,20.51,998,5
200,Maruti Swift Dzire,Maruti,2017,550000,20000,Petrol,21.21,1197,5
201,Maruti Alto 800,Maruti,2018,270000,20000,Petrol,24.7,796,5
202,Maruti Swift Dzire,Maruti,2018,700000,7800,Petrol,22.0,1197,5
203,Maruti Swift VXI,Maruti,2017,500000,20000,Petrol,20.4,1197,5
204,Tata Hexa XE,Tata,2019,1250000,15000,Diesel,17.6,2179,7
205,Hyundai i20 Magna,Hyundai,2013,320000,31377,Petrol,18.5,1197,5
206,Maruti Swift Dzire,Maruti,2018,700000,50000,Diesel,28.4,1248,5
207,Maruti Wagon R,Maruti,2015,290000,60000,Petrol,20.51,998,5
208,Toyota Corolla Altis,Toyota,2012,550000,100000,Petrol,14.53,1794,5
209,Honda Brio S,Honda,2012,265000,60000,Petrol,19.4,1198,5
210,Maruti Baleno Alpha,Maruti,2018,830000,5000,Petrol,21.4,1197,5
211,Tata Safari Storme,Tata,2017,800000,60000,Diesel,14.1,2179,7
212,Maruti Alto LXi,Maruti,2011,160000,25000,Petrol,19.7,796,5
213,Renault KWID RXT,Renault,2018,335000,30000,Petrol,25.17,799,5
214,Datsun GO T,Datsun,2017,329000,80000,Petrol,20.63,1198,5
215,Maruti Vitara Brezza,Maruti,2017,775000,75000,Diesel,24.3,1248,5
216,Hyundai Xcent 1.2,Hyundai,2020,524000,32000,Petrol,20.14,1197,5
217,Maruti Alto 800,Maruti,2015,245000,40000,Petrol,22.74,796,5
218,Hyundai i20 1.2,Hyundai,2012,275000,93000,Petrol,17.0,1197,5
219,Tata Zest Revotron,Tata,2018,520000,60000,Petrol,17.57,1193,5
220,Nissan Sunny XL,Nissan,2014,550000,37000,Petrol,16.95,1498,5
221,Ford EcoSport 1.5,Ford,2018,910000,15000,Petrol,17.0,1497,5
222,Nissan Micra Active,Nissan,2015,300000,80000,Petrol,19.49,1198,5
223,Maruti Wagon R,Maruti,2016,350000,140000,Petrol,20.51,998,5
224,Mahindra Ssangyong Rexton,Mahindra,2013,900000,70000,Diesel,12.83,2696,7
225,Mahindra Quanto C8,Mahindra,2013,300000,120000,Diesel,17.21,1493,7
226,Maruti Ritz LDi,Maruti,2010,250000,110000,Diesel,21.1,1248,5
227,Hyundai Creta 1.6,Hyundai,2017,1100000,37000,Diesel,19.67,1582,5
228,Renault KWID RXT,Renault,2016,270000,44000,Petrol,25.17,799,5
229,Maruti Ertiga VDI,Maruti,2015,640000,80000,Diesel,20.77,1248,7
230,Mahindra XUV500 W4,Mahindra,2015,650000,125000,Diesel,15.1,2179,7
231,Maruti Eeco 5,Maruti,2017,409999,13500,Petrol,15.37,1196,5
232,Hyundai Santro Xing,Hyundai,2011,165000,75000,Petrol,17.92,1086,5
233,Hyundai Aent GLE,Hyundai,2007,80000,120000,Petrol,13.2,1495,5
234,Mahindra XUV500 W8,Mahindra,2012,535000,120000,Diesel,15.1,2179,7
235,Toyota Innova 2.5,Toyota,2013,700000,70000,Diesel,12.99,2494,7
236,Maruti Swift Dzire,Maruti,2013,550000,70000,Diesel,23.4,1248,5
237,Honda Amaze S,Honda,2019,680000,15000,Petrol,19.0,1199,5
238,Hyundai i10 Sportz,Hyundai,2009,200000,53000,Petrol,20.36,1197,5
239,Maruti Swift Dzire,Maruti,2014,500000,120000,Diesel,23.4,1248,5
240,Maruti Ertiga SHVS,Maruti,2016,1000000,70000,Diesel,24.52,1248,7
241,Hyundai Getz 1.3,Hyundai,2008,110000,120000,Petrol,14.2,1341,5
242,Hyundai i20 1.2,Hyundai,2012,320000,100000,Petrol,18.5,1197,5
243,Maruti Swift LXI,Maruti,2015,350000,100000,Petrol,20.4,1197,5
244,Tata Indica Vista,Tata,2013,170000,162500,Diesel,19.4,1405,5
245,Hyundai i20 2015-2017,Hyundai,2017,800000,39000,Diesel,22.54,1396,5
246,Maruti Ignis 1.3,Maruti,2017,500000,75000,Diesel,26.8,1248,5
247,Tata Hexa XTA,Tata,2017,1380000,50000,Diesel,17.6,2179,7
248,Mahindra Marazzo M6,Mahindra,2019,1300000,40000,Diesel,17.3,1497,8
249,Hyundai Verna 1.6,Hyundai,2013,530000,92500,Diesel,22.32,1582,5
250,Maruti Swift Dzire,Maruti,2012,360000,158000,Diesel,23.4,1248,5
251,Maruti Swift Dzire,Maruti,2012,310000,120000,Diesel,19.3,1248,5
252,Honda City i,Honda,2015,725000,50000,Diesel,26.0,1498,5
253,Maruti Swift Dzire,Maruti,2012,340000,110000,Diesel,19.3,1248,5
254,Hyundai Xcent 1.2,Hyundai,2017,550000,2000,Diesel,25.4,1186,5
255,Toyota Fortuner 3.0,Toyota,2011,1150000,181000,Diesel,11.5,2982,7
256,Tata Tiago 1.05,Tata,2016,380000,70000,Diesel,27.28,1047,5
257,Nissan Sunny XL,Nissan,2013,350000,90000,Petrol,17.97,1498,5
258,Hyundai Elite i20,Hyundai,2019,610000,2000,Petrol,18.6,1197,5
259,Maruti Swift Dzire,Maruti,2015,525000,20000,Petrol,20.85,1197,5
260,Toyota Innova 2.5,Toyota,2011,480000,120000,Diesel,12.8,2494,7
261,Mahindra Thar CRDe,Mahindra,2017,780000,35000,Diesel,16.55,2498,6
262,Maruti Swift Dzire,Maruti,2012,320000,193000,Diesel,19.3,1248,5
263,Maruti Swift 1.2,Maruti,2014,375000,80000,Petrol,20.4,1197,5
264,Datsun GO D,Datsun,2019,300000,40000,Petrol,19.02,1198,5
265,Hyundai i20 Asta,Hyundai,2015,500000,70000,Diesel,22.54,1396,5
266,Mahindra Scorpio LX,Mahindra,2011,404000,122358,Diesel,12.05,2179,9
267,Tata Sumo Gold,Tata,2015,500000,75000,Diesel,14.07,2956,7
268,Tata Tiago Wizz,Tata,2017,350000,120000,Diesel,27.28,1047,5
269,Tata Zest Revotron,Tata,2015,380000,40000,Petrol,17.57,1193,5
270,Hyundai Aent GLE,Hyundai,2008,114999,95200,Petrol,13.2,1495,5
271,Honda Brio Exclusive,Honda,2014,335000,33033,Petrol,19.4,1198,5
272,Hyundai Grand i10,Hyundai,2015,465000,63063,Petrol,18.9,1197,5
273,Tata Manza Club,Tata,2012,290000,60000,Diesel,21.02,1248,5
274,Maruti Alto LX,Maruti,2005,110000,45000,Petrol,19.7,796,5
275,Tata New Safari,Tata,2011,450000,80000,Diesel,11.57,2179,7
276,Mahindra Bolero SLE,Mahindra,2009,400000,170000,Diesel,13.6,2523,7
277,Mahindra Bolero DI,Mahindra,2007,210000,207890,Diesel,13.6,2523,7
278,Mercedes-Benz GL-Class 220d,Mercedes-Benz,2018,4600000,7976,Diesel,17.9,2143,5
279,Maruti Omni E,Maruti,2016,220000,35000,Petrol,16.8,796,8
280,Hyundai Grand i10,Hyundai,2017,450000,35000,Petrol,18.9,1197,5
281,Hyundai Grand i10,Hyundai,2017,450000,35000,Petrol,18.9,1197,5
282,Hyundai i10 Sportz,Hyundai,2013,290000,50000,Petrol,16.95,1197,5
283,Maruti Swift VXI,Maruti,2016,520000,20000,Petrol,20.4,1197,5
284,Hyundai i10 Sportz,Hyundai,2011,265000,20000,Petrol,16.95,1197,5
285,Maruti Swift VXI,Maruti,2012,330000,50000,Petrol,18.6,1197,5
286,Maruti Swift VXI,Maruti,2012,330000,50000,Petrol,18.6,1197,5
287,Mahindra Bolero 2011-2019,Mahindra,2014,509999,120000,Diesel,15.96,2523,7
288,Hyundai Verna 1.6,Hyundai,2014,500000,70000,Petrol,17.1,1591,5
289,Hyundai i20 Active,Hyundai,2015,525000,50000,Petrol,17.19,1197,5
290,Maruti Baleno Zeta,Maruti,2019,675000,16500,Petrol,21.01,1197,5
291,Hyundai i20 1.2,Hyundai,2010,300000,70000,Petrol,17.0,1197,5
292,Maruti Alto LXI,Maruti,2005,90000,99361,Petrol,19.7,796,5
293,Maruti Swift Dzire,Maruti,2017,650000,25000,Diesel,26.59,1248,5
294,Maruti Swift Dzire,Maruti,2014,409000,70000,Petrol,19.1,1197,5
295,Hyundai Grand i10,Hyundai,2015,395000,80000,Diesel,24.0,1120,5
296,Maruti Swift Dzire,Maruti,2014,400000,70000,Petrol,19.1,1197,5
297,Chevrolet Beat LS,Chevrolet,2012,120000,60000,Petrol,18.6,1199,5
298,Tata Tigor 1.2,Tata,2018,645000,10000,Petrol,20.3,1199,5
299,Maruti 800 Std,Maruti,2006,81000,80000,Petrol,16.1,796,4
300,Honda City i-DTEC,Honda,2017,1300000,30000,Diesel,25.6,1498,5
301,Honda City i-DTEC,Honda,2017,1250000,33000,Diesel,25.6,1498,5
302,Maruti Ertiga VXI,Maruti,2013,535000,90000,Petrol,16.02,1373,7
303,Nissan Terrano XV,Nissan,2014,555000,80100,Diesel,19.01,1461,5
304,Honda City i,Honda,2014,725000,120000,Petrol,17.4,1497,5
305,Renault KWID RXL,Renault,2016,229999,40000,Petrol,25.17,799,5
306,Toyota Innova 2.5,Toyota,2013,800000,160000,Diesel,12.99,2494,8
307,Maruti Wagon R,Maruti,2017,409999,47000,Petrol,20.51,998,5
308,Hyundai Creta 1.4,Hyundai,2018,1210000,25000,Diesel,21.38,1396,5
309,Tata Tiago 1.2,Tata,2017,400000,26000,Petrol,23.84,1199,5
310,Hyundai Grand i10,Hyundai,2018,520000,29000,Diesel,24.0,1186,5
311,Maruti Baleno Zeta,Maruti,2016,650000,50000,Petrol,21.4,1197,5
312,Maruti Swift ZXI,Maruti,2011,325000,58000,Petrol,16.1,1298,5
313,Maruti Swift Dzire,Maruti,2012,420000,120000,Petrol,17.4,1197,5
314,Maruti Swift LXI,Maruti,2014,400000,50000,Petrol,20.4,1197,5
315,Hyundai i20 1.2,Hyundai,2010,254999,80000,Petrol,17.0,1197,5
316,Maruti Zen LXI,Maruti,2003,65000,60000,Petrol,17.3,993,5
317,Maruti Celerio LXI,Maruti,2017,351000,36000,Petrol,23.1,998,5
318,Toyota Innova 2.5,Toyota,2007,404000,120000,Diesel,12.8,2494,8
319,Maruti Ritz LDi,Maruti,2011,185000,185000,Diesel,21.1,1248,5
320,Nissan Micra Diesel,Nissan,2011,250000,50000,Diesel,23.08,1461,5
321,Maruti Zen LXI,Maruti,2002,60000,100000,Petrol,17.3,993,5
322,Hyundai Verna 1.6,Hyundai,2013,500000,50000,Petrol,17.1,1591,5
323,Maruti Zen Estilo,Maruti,2007,85000,80000,Petrol,18.2,998,5
324,Maruti Alto LX,Maruti,2005,85000,80000,Petrol,19.7,796,5
325,Maruti Swift Dzire,Maruti,2011,265000,90000,Diesel,19.3,1248,5
326,Maruti A-Star Vxi,Maruti,2010,130000,162000,Petrol,19.0,998,5
327,Maruti Ertiga VDI,Maruti,2013,480000,110000,Diesel,20.77,1248,7
328,Maruti Swift Ldi,Maruti,2008,170000,120000,Diesel,17.8,1248,5
329,Nissan Micra Diesel,Nissan,2011,275000,45000,Diesel,23.08,1461,5
330,Maruti Wagon R,Maruti,2005,89000,90000,Petrol,18.9,998,5
331,Ford Figo Diesel,Ford,2010,170000,90000,Diesel,20.0,1399,5
332,Mahindra XUV300 W8,Mahindra,2019,1090000,16500,Petrol,17.0,1197,5
